co2_ppmv,gpp_percent,d17o_o2_permil
394,96.271528,-0.462572
394,96.710172,-0.461808
394,97.148815,-0.461049
394,97.587459,-0.460297
394,98.026103,-0.459549
394,98.464747,-0.458807
394,98.903391,-0.458069
394,99.342034,-0.457337
394,99.780678,-0.456609
394,100.219322,-0.455886
394,100.657966,-0.455168
394,101.096609,-0.454454
394,101.535253,-0.453744
394,101.973897,-0.453039
394,102.412541,-0.452337
394,102.851185,-0.451640
394,103.289828,-0.450946
394,103.728472,-0.450257
394,104.167116,-0.449571
394,104.605760,-0.448888
394,105.044404,-0.448209
394,105.483047,-0.447534
394,105.921691,-0.446862
394,106.360335,-0.446193
394,106.798979,-0.445527
394,107.237623,-0.444864
394,107.676266,-0.444204
394,108.114910,-0.443548
394,108.553554,-0.442894
394,108.992198,-0.442243
394,109.430842,-0.441595
394,109.869485,-0.440949
394,110.308129,-0.440306
394,110.746773,-0.439666
394,111.185417,-0.439028
394,111.624061,-0.438393
394,112.062704,-0.437760
394,112.501348,-0.437130
394,112.939992,-0.436502
394,113.378636,-0.435876
394,113.817280,-0.435253
394,114.255923,-0.434632
394,114.694567,-0.434013
394,115.133211,-0.433397
394,115.571855,-0.432783
394,116.010499,-0.432171
394,116.449142,-0.431561
394,116.887786,-0.430954
394,117.326430,-0.430348
394,117.765074,-0.429745
394,118.203718,-0.429144
394,118.642361,-0.428546
394,119.081005,-0.427949
394,119.519649,-0.427355
394,119.958293,-0.426763
394,120.396937,-0.426173
394,120.835580,-0.425586
394,121.274224,-0.425001
394,121.712868,-0.424418
394,122.151512,-0.423837
394,122.590156,-0.423259
394,123.028799,-0.422684
394,123.467443,-0.422110
394,123.906087,-0.421540
394,124.344731,-0.420971
394,124.783375,-0.420406
394,125.222018,-0.419843
394,125.660662,-0.419282
394,126.099306,-0.418725
394,126.537950,-0.418170
394,126.976594,-0.417618
394,127.415237,-0.417069
394,127.853881,-0.416523
394,128.292525,-0.415981
394,128.731169,-0.415441
394,129.169813,-0.414904
394,129.608456,-0.414371
394,130.047100,-0.413841
394,130.485744,-0.413315
394,130.924388,-0.412792
394,131.363032,-0.412273
394,131.801675,-0.411758
394,132.240319,-0.411246
394,132.678963,-0.410738
394,133.117607,-0.410235
394,133.556251,-0.409735
394,133.994894,-0.409240
394,134.433538,-0.408750
394,134.872182,-0.408263
394,135.310826,-0.407782
394,135.749470,-0.407305
394,136.188113,-0.406833
394,136.626757,-0.406366
394,137.065401,-0.405904
394,137.504045,-0.405448
394,137.942689,-0.404996
394,138.381332,-0.404551
394,138.819976,-0.404111
394,139.258620,-0.403677
394,139.697264,-0.403249
394,140.135908,-0.402827
394,140.574551,-0.402411
394,141.013195,-0.402002
394,141.451839,-0.401599
394,141.890483,-0.401203
394,142.329127,-0.400815
394,142.767770,-0.400433
394,143.206414,-0.400059
394,143.645058,-0.399692
394,144.083702,-0.399332
394,144.522346,-0.398981
394,144.960989,-0.398638
394,145.399633,-0.398303
394,145.838277,-0.397976
394,146.276921,-0.397658
394,146.715565,-0.397348
394,147.154208,-0.397048
394,147.592852,-0.396757
394,148.031496,-0.396476
494,58.923885,-0.642026
494,59.330769,-0.639762
494,59.737653,-0.637524
494,60.144537,-0.635312
494,60.551421,-0.633124
494,60.958305,-0.630961
494,61.365189,-0.628822
494,61.772073,-0.626707
494,62.178957,-0.624617
494,62.585841,-0.622549
494,62.992725,-0.620505
494,63.399609,-0.618485
494,63.806493,-0.616486
494,64.213377,-0.614511
494,64.620262,-0.612557
494,65.027146,-0.610625
494,65.434030,-0.608715
494,65.840914,-0.606826
494,66.247798,-0.604959
494,66.654682,-0.603112
494,67.061566,-0.601286
494,67.468450,-0.599480
494,67.875334,-0.597694
494,68.282218,-0.595928
494,68.689102,-0.594181
